date,location,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations,daily_vaccinations_raw
2021-02-09,Brazil,0,9447165,0,230034,4069677.0,50655.0,,228375.0,300125.0
2021-02-10,Brazil,0,9447165,0,230034,4326075.0,80760.0,,229243.0,286503.0
2021-02-11,Brazil,0,9447165,0,230034,4586270.0,109866.0,,231604.0,289301.0
2021-02-12,Brazil,0,9447165,0,230034,4946738.0,178468.0,,246260.0,429070.0
2021-02-13,Brazil,0,9447165,0,230034,5042713.0,194230.0,,240466.0,111737.0
2021-02-14,Brazil,318290,9765455,7455,237489,5076110.0,217869.0,,241206.0,57036.0
2021-02-15,Brazil,0,9765455,0,237489,5324317.0,285620.0,,255676.0,315958.0
2021-02-16,Brazil,0,9765455,0,237489,5326007.0,557532.0,,251887.0,273602.0
2021-02-17,Brazil,0,9765455,0,237489,5482925.0,723755.0,,257121.0,323141.0
2021-02-18,Brazil,0,9765455,0,237489,5640483.0,894673.0,,262717.0,328476.0
2021-02-19,Brazil,0,9765455,0,237489,5756361.0,1056807.0,,241137.0,278012.0
2021-02-20,Brazil,0,9765455,0,237489,5817908.0,1132894.0,,244837.0,137634.0
2021-02-21,Brazil,316221,10081676,7276,244765,5857080.0,1171276.0,,247768.0,77554.0
2021-02-22,Brazil,0,10081676,0,244765,6002873.0,1294188.0,,241018.0,268705.0
2021-02-23,Brazil,0,10081676,0,244765,6116082.0,1435594.0,,238305.0,254615.0
2021-02-24,Brazil,0,10081676,0,244765,6202055.0,1596945.0,,227474.0,247324.0
2021-02-25,Brazil,0,10081676,0,244765,6346769.0,1755018.0,,223804.0,302787.0
2021-02-26,Brazil,0,10081676,0,244765,6437836.0,1884206.0,,215553.0,220255.0
2021-02-27,Brazil,0,10081676,0,244765,6518628.0,1914940.0,,211824.0,111526.0
2021-02-28,Brazil,373954,10455630,8070,252835,6542206.0,1923197.0,,205292.0,31835.0
2021-03-01,Brazil,0,10455630,0,252835,6806293.0,2034734.0,,220567.0,375624.0
2021-03-02,Brazil,0,10455630,0,252835,7114219.0,2163103.0,,246521.0,436295.0
2021-03-03,Brazil,0,10455630,0,252835,7417852.0,2321824.0,,277239.0,462354.0
2021-03-04,Brazil,0,10455630,0,252835,7701146.0,2468014.0,,295339.0,429484.0
2021-03-05,Brazil,0,10455630,0,252835,7958939.0,2617603.0,,322071.0,407382.0
2021-03-06,Brazil,0,10455630,0,252835,8142004.0,2688684.0,,342446.0,254146.0
2021-03-07,Brazil,413597,10869227,9935,262770,8227671.0,2720738.0,,354715.0,117721.0
2021-03-08,Brazil,0,10869227,0,262770,8504966.0,2852528.0,,359495.0,409085.0
2021-03-09,Brazil,0,10869227,0,262770,8764547.0,2991584.0,,354116.0,398637.0
2021-03-10,Brazil,0,10869227,0,262770,9013293.0,3167810.0,,348775.0,424972.0
2021-03-11,Brazil,0,10869227,0,262770,9298511.0,3314668.0,,349146.0,432076.0
2021-03-12,Brazil,0,10869227,0,262770,9547655.0,3470065.0,,348740.0,404541.0
2021-03-13,Brazil,0,10869227,0,262770,9669967.0,3553762.0,,341863.0,206009.0
2021-03-14,Brazil,494153,11363380,12335,275105,9718209.0,3568455.0,,334036.0,62935.0
2021-03-15,Brazil,0,11363380,0,275105,10087787.0,3675786.0,,343726.0,476909.0
2021-03-16,Brazil,0,11363380,0,275105,10402388.0,3796406.0,,348952.0,435221.0
2021-03-17,Brazil,0,11363380,0,275105,10725474.0,3923217.0,,352513.0,449897.0
2021-03-18,Brazil,0,11363380,0,275105,11055747.0,4031855.0,,353489.0,438911.0
2021-03-19,Brazil,0,11363380,0,275105,11509501.0,4113848.0,,372233.0,535747.0
2021-03-20,Brazil,0,11363380,0,275105,11739832.0,4143856.0,,379994.0,260339.0
2021-03-21,Brazil,508010,11871390,15209,290314,11818482.0,4161881.0,,384814.0,96675.0
2021-03-22,Brazil,0,11871390,0,290314,12314847.0,4252255.0,,400504.0,586739.0
2021-03-23,Brazil,0,11871390,0,290314,12817812.0,4339819.0,,422691.0,590529.0
2021-03-24,Brazil,0,11871390,0,290314,13436373.0,4450408.0,,462584.0,729150.0
2021-03-25,Brazil,0,11871390,0,290314,14102934.0,4552411.0,,509678.0,768564.0
2021-03-26,Brazil,0,11871390,0,290314,14928869.0,4648917.0,,564920.0,922441.0
2021-03-27,Brazil,0,11871390,0,290314,15282128.0,4679944.0,,582626.0,384286.0
2021-03-28,Brazil,533024,12404414,16798,307112,15513974.0,4702964.0,,605225.0,254866.0
2021-03-29,Brazil,0,12404414,0,307112,16335279.0,4825484.0,,656237.0,943825.0
2021-03-30,Brazil,0,12404414,0,307112,16995184.0,4955061.0,,684659.0,789482.0
2021-03-31,Brazil,0,12404414,0,307112,17745732.0,5093555.0,,707501.0,889042.0
